category,institution_code,name,district,address,phone,departments,source_name,source_url
medical,3538011945,福山診所,南投縣南投市,南投縣南投市福山里八卦路507號1樓,049-2334060,"西醫一般科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3538010475,怡和內科診所,南投縣南投市,南投縣南投市復興路99-3號,049-2231401,"內科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3738010077,盧牙醫診所,南投縣南投市,南投縣南投市中山街２４８號,049-2231589,"牙醫一般科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3738010120,廖牙醫診所,南投縣南投市,南投縣南投市文昌街８４號,049-2222862,"牙醫一般科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3738010228,慧和牙醫診所,南投縣南投市,南投縣南投市三和二路三號,049-2222928,"牙醫一般科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3738011378,陳子柔牙醫診所,南投縣南投市,南投縣南投市彰南路二段366號,049-2206525,"牙醫一般科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3538012022,子泰診所,南投縣南投市,南投縣南投市南崗二路298號1樓,049-2223013,"兒科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3538010484,曾俊傑診所,南投縣南投市,南投縣南投市大同街１巷２號,049-2223875,"家庭醫學科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3538010537,楊聰明診所,南投縣南投市,南投縣南投市復興路373號,049-2239955,"西醫一般科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3538010573,新協合聯合診所,南投縣南投市,南投縣南投市三和二路105號,049-2222116,"內科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3538011981,嘉欣診所,南投縣南投市,南投縣南投市彰南路一段937號1樓,049-2236318,"家庭醫學科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
medical,3538012040,何耳鼻喉科診所,南投縣南投市,南投縣南投市民族路258號,0492222689,"耳鼻喉科,",醫療機構與人員基本資料,https://dep.mohw.gov.tw/doma/fp-4926-54415-106.html
